ID	Name
422	金剪刀
423	还亮草
424	木姜子茎
425	黑皮根
426	侧子
427	惊风草
428	毛木通
429	黑皮跌打
430	红果楠
431	铁棒锤茎叶
432	甘青铁线莲
433	附子
434	红花青藤
435	鹰爪花果
436	土玉桂
437	南亚新木姜
438	樟梨
439	紫楠叶
440	楠材
441	血桐
442	两色乌头
443	小花青藤
444	排骨灵
445	连香树果
446	小黑牛
447	木姜子
448	天目木姜子
449	回回蒜
450	猴樟果
451	花木通
452	白头翁花
453	红豆七
454	红楠皮
455	拦路虎
456	射罔
457	樟木
458	奇林翠雀
459	香樟根
460	阴香根
461	铁筷子
462	假鹰爪根
463	楠木皮
464	樟树皮
465	狗爪樟皮
466	白桂
467	黄三七
468	肉桂
469	软水黄连
470	香叶树
471	云雾七
472	檫树
473	山木通
474	马尾连
475	七叶一把伞
476	樟脑
477	虎掌草
478	樟树叶
479	山胡椒
480	肉豆蔻
481	打破碗花花
482	倒水莲
483	肉豆蔻衣
484	香叶子
485	铁线莲
486	重叶莲
487	大火草根
488	桂皮
489	岩扫把
490	酒饼婆
491	吉林乌头
492	千年耗子屎种子
493	川乌头
494	乌头附子尖
495	铁棒锤
496	千打锤
497	女萎
498	红辣槁树皮
499	小草乌
500	峨山草乌
501	自扣草
502	阴香皮
503	夏蜡梅
504	番荔枝根
505	番荔枝叶
506	鹰爪花根
507	小白撑
508	新疆木通
509	钓樟根皮
510	顺江木
511	豹皮樟
512	关白附
513	雪上一枝蒿
514	漏篮子
515	大叶马尾连
516	酒饼叶
517	樟木子
518	樟梨子
519	肉桂叶
520	臭樟
521	山玉桂
522	乌药
523	桂枝
524	水葫芦苗
525	毛茛
526	野前胡
527	鸡爪枝皮
528	天雄
529	铜骨七
530	桂子
531	九节菖蒲
532	蜡梅花
533	乌骨藤
534	黑种草子
535	硬水黄连
536	残槁蔃
537	紫楠根
538	鸭脚板草
539	升麻
540	白升麻
541	圆叶乌头
542	阴香叶
543	三钻风
544	石龙芮
545	乌药叶
546	白蓝翠雀花
547	三股筋
548	瓣蕊唐松草
549	囊距翠雀
550	乌药子
551	绿豆升麻
552	麻布七
553	竹节香附
554	野黄瓜
555	地乌
556	飞燕草
557	石龙芮子
558	川木通
559	银扁担
560	香胶木
561	假耧斗菜
562	毛黄连
563	山胡椒根
564	鸡爪草
565	木姜子叶
566	冻青叶
567	月桂子
568	露蕊乌头
569	桂丁
570	猫爪草
571	红钉耙藤
572	展花乌头
573	藤乌头
574	山橿根
575	鸦跖花
576	绢毛木姜子
577	野棉花
578	虎皮草
579	半边钱
580	云实蛀虫
581	云实根
582	降香
583	雉子筵根
584	雉子筵
585	木豆
586	大夜关门根
587	山刺梨
588	圆节山蚂蝗
589	华金腰子
590	山扁豆
591	黄藨根
592	桃仁
593	黄水藨叶
594	山桂花
595	自消容
596	自消容根
597	合欢花
598	合萌叶
599	木豆叶
600	黄锁梅根
601	笑靥花
602	灯笼果
603	刺梨
604	回回豆
605	双飞蝴蝶
606	倒生根
607	长萼猪屎豆
608	倒扎龙
609	海红豆
610	营实
611	倒挂牛
612	缅茄
613	倒钩刺
614	梅花刺果
615	杏子
616	碧桃干
617	云实
618	黄水枝
619	鸭皂树皮
620	薅田藨
621	薅田藨根
622	七里香
623	梨
624	山樱桃
625	十姊妹
626	刺玫果
627	巴旦杏仁
628	岩菖蒲
629	山葛薯
630	榼藤子
631	紫荆皮
632	饿蚂蝗
633	赤阳子
634	楤叶悬钩子
635	蔷薇花
636	蔷薇枝
637	樱桃叶
638	蒙古扁桃
639	樱桃水
640	樱桃枝
641	苞蔷薇根
642	柔毛水杨梅
643	苹果皮
644	苹果叶
645	孩儿茶
646	常山
647	山楂叶
648	蜀漆
649	大叶拿身草
650	红子根
651	蛇莓根
652	峨屏草
653	红花菜
654	小叶石楠
655	梨皮
656	管仲
657	粘人花
658	鸭皂树根
